,facility_address,facility_name,facility_city,grade,score,serial_number,points,violation_description,violation_status,time,activity_date,year
75468,12146 SANTA MONICA BLVD,STAR MARKET,LOS ANGELES,A,95,DAQF769F5,1.0,"# 44. Floors, walls and ceilings: properly built, maintained in good repair and clean",OUT OF COMPLIANCE,201509,2015-09-09,2015
528422,589 W 9TH ST,IRON CITY,SAN PEDRO,A,90,DAV2VCC1B,2.0,# 07. Proper hot and cold holding temperatures,OUT OF COMPLIANCE,201702,2017-02-08,2017
756484,3454 WILSHIRE BLVD,MCDONALD'S # 4989,LOS ANGELES,A,91,DAFN05PA0,1.0,"# 44. Floors, walls and ceilings: properly built, maintained in good repair and clean",OUT OF COMPLIANCE,201608,2016-08-04,2016
795738,1128 S ROBERTSON BLVD,SI LAA THAI DINING,LOS ANGELES,A,95,DAYGSQYNE,1.0,# 33. Nonfood-contact surfaces clean and in good repair,OUT OF COMPLIANCE,201710,2017-10-30,2017
678617,11824 1/2 ARTESIA BLVD,BELLY BOMBZ KITCHEN,ARTESIA,A,92,DAZZYDPVM,4.0,# 10. Proper cooking time & temperatures,OUT OF COMPLIANCE,201704,2017-04-21,2017
618827,8909 W SUNSET BLVD,PEARL'S (KITCHEN),WEST HOLLYWOOD,A,92,DAMP6AXKC,1.0,"# 35. Equipment/Utensils - approved; installed; clean; good repair, capacity",OUT OF COMPLIANCE,201708,2017-08-08,2017
703615,3407 CRENSHAW BLVD,CRENSHAW FISH MARKET,LOS ANGELES,A,91,DAYKYYYK6,1.0,"# 42. Toilet facilities: properly constructed, supplied, cleaned",OUT OF COMPLIANCE,201702,2017-02-07,2017
186436,1551 W 7TH ST #C,YOLO STEAK SANDWICH AND MORE,LOS ANGELES,A,90,DAS0NBV00,2.0,# 06. Adequate handwashing facilities supplied & accessible,OUT OF COMPLIANCE,201509,2015-09-03,2015
336677,400 E GLENOAKS BLVD,GRAND FOOD MARKET,GLENDALE,A,94,DAJMITFE7,1.0,"# 40. Plumbing: Plumbing in good repair, proper backflow devices",OUT OF COMPLIANCE,201703,2017-03-29,2017
250617,3883 W CENTURY BLVD,HOLLYWOOD PARK CASINO,INGLEWOOD,A,92,DAAEKAKFA,2.0,# 14. Food contact surfaces: clean and sanitized,OUT OF COMPLIANCE,201705,2017-05-11,2017
1977,207 N HARBOR DR,SAMBA BRAZILIAN STEAKHOUSE,REDONDO BEACH,A,91,DALC4XNDL,1.0,"# 40. Plumbing: Plumbing in good repair, proper backflow devices",OUT OF COMPLIANCE,201701,2017-01-31,2017
486636,1898 E WILLOW ST,BLACK BEAR DINER,SIGNAL HILL,A,94,DA0768513,1.0,"# 35. Equipment/Utensils - approved; installed; clean; good repair, capacity",OUT OF COMPLIANCE,201701,2017-01-31,2017
723034,10524 GARVEY AVE,EL PERICO MARKET KITCHEN,SOUTH EL MONTE,A,94,DAV0YDDB0,1.0,# 33. Nonfood-contact surfaces clean and in good repair,OUT OF COMPLIANCE,201709,2017-09-21,2017
113029,13150 OSBORNE ST,ARCO AM/PM MINI MARKET,PACOIMA,A,93,DAYLRXNT4,1.0,# 43. Premises; personal/cleaning items; vermin-proofing,OUT OF COMPLIANCE,201708,2017-08-18,2017
894473,8800 SEPULVEDA BLVD,KENTUCKY FRIED CHICKEN,NORTH HILLS,A,93,DARV06DCU,1.0,# 33. Nonfood-contact surfaces clean and in good repair,OUT OF COMPLIANCE,201704,2017-04-03,2017
271209,518 SAN FERNANDO MISSION BLVD,LA PALMA BAKERY,SAN FERNANDO,A,90,DAORNW10F,1.0,# 46. Signs posted; last inspection report available,OUT OF COMPLIANCE,201703,2017-03-23,2017
671804,2446 S ST ANDREWS PL,ST. JOHN GRANDE KITCHEN,LOS ANGELES,A,100,DAHSCBA10,0.0,No violation,No violation,201605,2016-05-15,2016
548267,3400 E 1ST ST,PIZZA HUT #26160,LOS ANGELES,A,92,DAWLMIVCD,1.0,"# 36. Equipment, utensils and linens: storage and use",OUT OF COMPLIANCE,201612,2016-12-15,2016
501927,3206 W MAGNOLIA BLVD,MARCHE WINE BAR,BURBANK,A,94,DACAVYUZ3,1.0,"# 35. Equipment/Utensils - approved; installed; clean; good repair, capacity",OUT OF COMPLIANCE,201710,2017-10-25,2017
665819,11660 E FIRESTONE BLVD,NORTHGATE #24,NORWALK,B,80,DAUBKTUJM,3.0,# 52. Multiple Major Critical Violations / Increased Risk to Public Health,OUT OF COMPLIANCE,201704,2017-04-04,2017
768045,3680 WILSHIRE BLVD STE 301,M & A AROMA,LOS ANGELES,B,82,DAPVQ7XA1,2.0,# 14. Food contact surfaces: clean and sanitized,OUT OF COMPLIANCE,201712,2017-12-06,2017
479097,14323 HAWTHORNE BLVD,LUCKY BAMBOO KITCHEN,HAWTHORNE,A,90,DAQXHDX2V,1.0,"# 44. Floors, walls and ceilings: properly built, maintained in good repair and clean",OUT OF COMPLIANCE,201508,2015-08-25,2015
503181,1465 FOOTHILL BLVD,"RED DEVIL PIZZA,ROCANDS",LA VERNE,A,95,DA0GNWZ9S,1.0,# 25. Personal cleanliness and hair restraints,OUT OF COMPLIANCE,201702,2017-02-08,2017
10210,7200 MELROSE AVE,FRATELLI CAFE,LOS ANGELES,A,91,DA5VNGFQ0,4.0,"# 13. Food in good condition, safe and unadulterated",OUT OF COMPLIANCE,201508,2015-08-12,2015
175798,3054 MALABAR ST,MALABOR MKT,LOS ANGELES,A,93,DALWUSIOR,1.0,# 46. Signs posted; last inspection report available,OUT OF COMPLIANCE,201609,2016-09-20,2016
799940,401 E 12TH ST 5,KING OF JUICES RESTAURANT,LOS ANGELES,A,92,DAAB0ZG0G,2.0,# 06. Adequate handwashing facilities supplied & accessible,OUT OF COMPLIANCE,201612,2016-12-06,2016
241926,10857 SANTA MONICA BLVD,MOBIL SNACK SHOP,LOS ANGELES,A,96,DALLYNSWV,1.0,# 32. Food properly labeled & honestly presented,OUT OF COMPLIANCE,201604,2016-04-20,2016
650135,11733 BARRINGTON CT,SUBWAY,LOS ANGELES,A,96,DA8U6L1WD,1.0,# 43. Premises; personal/cleaning items; vermin-proofing,OUT OF COMPLIANCE,201707,2017-07-14,2017
742065,548 S BROADWAY,GOURMENT LA BAKERY,LOS ANGELES,A,93,DA4IY6U6Q,1.0,"# 44. Floors, walls and ceilings: properly built, maintained in good repair and clean",OUT OF COMPLIANCE,201702,2017-02-02,2017
460032,508 S KALISHER ST,LA CORONA TORTILLERIA,SAN FERNANDO,A,96,DAM2BPNM0,1.0,"# 42. Toilet facilities: properly constructed, supplied, cleaned",OUT OF COMPLIANCE,201711,2017-11-15,2017
781475,18438 E COLIMA RD STE #105,HAIGE STAR BOULEVARD,ROWLAND HEIGHTS,A,91,DA9JQJB70,2.0,"# 04. Proper eating, drinking, or tobacco use",OUT OF COMPLIANCE,201710,2017-10-11,2017
388292,6502 IRA AVE,TONO'S MARKET,BELL GARDENS,A,96,DACRFGNXO,1.0,"# 35. Equipment/Utensils - approved; installed; clean; good repair, capacity",OUT OF COMPLIANCE,201508,2015-08-12,2015
332491,13319 E TELEGRAPH RD,JENNY'S KITCHEN,WHITTIER,A,90,DA0IZDYRD,1.0,# 33. Nonfood-contact surfaces clean and in good repair,OUT OF COMPLIANCE,201509,2015-09-10,2015
142302,6242 MAYWOOD AVE,MOLE DE LOS REYES RESTAURANT,BELL,A,94,DAKNOQ1ZN,2.0,# 07. Proper hot and cold holding temperatures,OUT OF COMPLIANCE,201606,2016-06-22,2016
732847,505 S FLOWER ST STE B250,SAFFRON,LOS ANGELES,A,95,DAJSZVLHY,1.0,"# 35. Equipment/Utensils - approved; installed; clean; good repair, capacity",OUT OF COMPLIANCE,201709,2017-09-27,2017
724539,7169 BEVERLY BLVD,BABA GHANOOJ,LOS ANGELES,A,90,DATK25EEF,1.0,# 43. Premises; personal/cleaning items; vermin-proofing,OUT OF COMPLIANCE,201706,2017-06-30,2017
627001,6901 N FIGUEROA ST,HIGHLAND DELI / MARKET,LOS ANGELES,A,90,DABPOHMKS,1.0,# 39. Wiping cloths: properly used and stored,OUT OF COMPLIANCE,201606,2016-06-29,2016
664371,19247 ROSCOE BLVD,EL INDIO AZTECA,NORTHRIDGE,A,91,DAAM0KXDO,1.0,"# 40. Plumbing: Plumbing in good repair, proper backflow devices",OUT OF COMPLIANCE,201601,2016-01-13,2016
812552,11325 LONG BEACH BLVD,RITE AID #05476,LYNWOOD,A,99,DAPOO5J09,1.0,"# 44. Floors, walls and ceilings: properly built, maintained in good repair and clean",OUT OF COMPLIANCE,201602,2016-02-22,2016
657512,17200 VENTURA BLVD STE 109,MORE THAN WAFFLES,ENCINO,A,95,DAVBJMAFC,1.0,# 30. Food properly stored; food storage containers identified,OUT OF COMPLIANCE,201708,2017-08-31,2017
131248,501 CONTINENTAL BLVD,TELEDYNE CONTROLS CAFE,EL SEGUNDO,A,94,DAEHBSFU4,1.0,"# 36. Equipment, utensils and linens: storage and use",OUT OF COMPLIANCE,201602,2016-02-17,2016
721242,19756 E COLIMA RD,STATER BROS #067,ROWLAND HEIGHTS,A,93,DA6GXLIAR,1.0,"# 35. Equipment/Utensils - approved; installed; clean; good repair, capacity",OUT OF COMPLIANCE,201601,2016-01-13,2016
13497,3958 W 6TH ST,OLOCUILTA RESTAURANT,LOS ANGELES,A,90,DAL6GH7NZ,1.0,"# 44. Floors, walls and ceilings: properly built, maintained in good repair and clean",OUT OF COMPLIANCE,201707,2017-07-19,2017
451223,15651 HAWTHORNE BLVD,PHO HOUSE,LAWNDALE,A,94,DAFDR0IBU,1.0,"# 35. Equipment/Utensils - approved; installed; clean; good repair, capacity",OUT OF COMPLIANCE,201703,2017-03-30,2017
745100,23640 LYONS AVE,SMART & FINAL #468,SANTA CLARITA,A,99,DAU0OIWOK,1.0,# 33. Nonfood-contact surfaces clean and in good repair,OUT OF COMPLIANCE,201509,2015-09-29,2015
428316,20133 SATICOY ST,LAS DUNAS,WINNETKA,A,94,DASVXOJEH,2.0,# 07. Proper hot and cold holding temperatures,OUT OF COMPLIANCE,201602,2016-02-04,2016
797321,15608 E GALE AVE,BUBBLES LIQUOR,HACIENDA HEIGHTS,A,94,DAFS5LXUW,1.0,"# 44. Floors, walls and ceilings: properly built, maintained in good repair and clean",OUT OF COMPLIANCE,201608,2016-08-22,2016
525120,3458 N SAN FERNANDO RD,GREEN ROOM BILLIARDS,LOS ANGELES,A,93,DATPAC4YA,1.0,# 27. Food separated and protected,OUT OF COMPLIANCE,201606,2016-06-01,2016
28362,3300 W 135TH ST,7-ELEVEN STORE,HAWTHORNE,A,93,DADPVUK2U,1.0,"# 44. Floors, walls and ceilings: properly built, maintained in good repair and clean",OUT OF COMPLIANCE,201609,2016-09-07,2016
547887,13310 SAN ANTONIO DR,DOS AMIGOS,NORWALK,A,90,DADLHWZJW,1.0,# 33. Nonfood-contact surfaces clean and in good repair,OUT OF COMPLIANCE,201611,2016-11-15,2016
579838,5400 S CENTRAL AVE,MI RANCHITO MEAT MARKET,LOS ANGELES,A,90,DAEREN0ZH,1.0,"# 36. Equipment, utensils and linens: storage and use",OUT OF COMPLIANCE,201510,2015-10-19,2015
37681,2520 E PALMDALE BLVD # #K-08,CHINESE KITCHEN,PALMDALE,A,98,DARUM000D,1.0,"# 29. Toxic substances properly identified, stored, used",OUT OF COMPLIANCE,201601,2016-01-27,2016
422818,4405 S AVALON BLVD,EL POLLO LOCO #5988,LOS ANGELES,A,95,DAXT9YLJZ,1.0,"# 44. Floors, walls and ceilings: properly built, maintained in good repair and clean",OUT OF COMPLIANCE,201705,2017-05-23,2017
216500,30775 RUSSELL RANCH RD # E,FIGUEROA MOUNTAIN BREWING CO.,WESTLAKE VILLAGE,A,90,DANSLMSJZ,1.0,"# 35. Equipment/Utensils - approved; installed; clean; good repair, capacity",OUT OF COMPLIANCE,201702,2017-02-06,2017
681975,5813 N FIGUEROA ST,LITTLE CEASAR #5926,LOS ANGELES,A,90,DA45WUIQJ,1.0,# 33. Nonfood-contact surfaces clean and in good repair,OUT OF COMPLIANCE,201608,2016-08-08,2016
256965,10159 E GARVEY AVE,JIM'S BURGER #6,SOUTH EL MONTE,B,85,DA23KQCSI,1.0,"# 40. Plumbing: Plumbing in good repair, proper backflow devices",OUT OF COMPLIANCE,201508,2015-08-24,2015
55783,702 11TH PL,SOUTH BAY ALANO CLUB,HERMOSA BEACH,A,90,DAD9HK87G,1.0,# 30. Food properly stored; food storage containers identified,OUT OF COMPLIANCE,201704,2017-04-26,2017
707948,13550 PAXTON ST,COSTCO WHOLESALE # 1071,PACOIMA,A,96,DA0QPNFKE,2.0,# 07. Proper hot and cold holding temperatures,OUT OF COMPLIANCE,201709,2017-09-28,2017
302368,404 S ATLANTIC BLVD STE STE A,NBC SEAFOOD RESTAURANT,MONTEREY PARK,C,76,DAKREK0AB,2.0,# 09. Proper cooling methods,OUT OF COMPLIANCE,201702,2017-02-07,2017
26195,1111 PACIFIC COAST HWY STE 8,JIMENEZ BAKERY,HARBOR CITY,A,96,DAE17DR6F,2.0,# 06. Adequate handwashing facilities supplied & accessible,OUT OF COMPLIANCE,201508,2015-08-25,2015
75162,13754 1/2 ROSCOE BLVD,ISLA GRILL,PANORAMA CITY,A,93,DA25YX8HT,2.0,# 08. Time as a public health control; procedures & records,OUT OF COMPLIANCE,201602,2016-02-24,2016
204534,8560 WILSHIRE BLVD,AFGHANI KABOB HOUSE,BEVERLY HILLS,A,90,DAPMUS0WZ,1.0,"# 36. Equipment, utensils and linens: storage and use",OUT OF COMPLIANCE,201607,2016-07-14,2016
82367,856 W PALMDALE BLVD,AZTECA MEXICAN TACOS,PALMDALE,A,90,DAX3MMAK0,1.0,# 30. Food properly stored; food storage containers identified,OUT OF COMPLIANCE,201510,2015-10-06,2015
367157,3055 WILSHIRE BLVD STE 120,CAFE GIOIA,LOS ANGELES,A,92,DABFWW9NH,0.0,# 50. Impoundment of unsanitary equipment or food,OUT OF COMPLIANCE,201601,2016-01-22,2016
353131,1065 N HACIENDA BLVD,CRAZY ROCK'N SUSHI,LA PUENTE,A,90,DAZIXN098,4.0,# 14. Food contact surfaces: clean and sanitized,OUT OF COMPLIANCE,201605,2016-05-26,2016
400831,8235 GARVEY AVE,HOA BINH ROSEMEAD SUPERMARKET,ROSEMEAD,A,91,DA4T13DCO,1.0,# 41. Garbage and refuse properly disposed; facilities maintained,OUT OF COMPLIANCE,201601,2016-01-13,2016
900144,11835 WILSHIRE BLVD,Q'S,LOS ANGELES,A,90,DAS3JSASK,1.0,# 43. Premises; personal/cleaning items; vermin-proofing,OUT OF COMPLIANCE,201510,2015-10-07,2015
35763,5539 W SUNSET BLVD,ONO HAWAIIAN BBQ,LOS ANGELES,A,97,DAR6MRWO7,1.0,# 33. Nonfood-contact surfaces clean and in good repair,OUT OF COMPLIANCE,201707,2017-07-13,2017
172203,1607 WILSHIRE BLVD,YOGURTLAND,LOS ANGELES,A,99,DAMYIHNO6,1.0,# 43. Premises; personal/cleaning items; vermin-proofing,OUT OF COMPLIANCE,201711,2017-11-02,2017
749709,11688 SOUTH ST # 107,MEZZA MEDITERRANEAN GRILL,ARTESIA,A,96,DAHVZD5RZ,1.0,"# 44. Floors, walls and ceilings: properly built, maintained in good repair and clean",OUT OF COMPLIANCE,201610,2016-10-20,2016
497534,241 N CENTRAL AVE,EVEREST BURGERS,GLENDALE,A,90,DA2ILLNYW,1.0,"# 44. Floors, walls and ceilings: properly built, maintained in good repair and clean",OUT OF COMPLIANCE,201607,2016-07-19,2016
706238,16153 VICTORY BLVD,SPRINGBOK BAR & GRILL,VAN NUYS,A,94,DABNT3OYC,1.0,"# 36. Equipment, utensils and linens: storage and use",OUT OF COMPLIANCE,201702,2017-02-15,2017
7016,3554 WHITTIER BLVD,MERCADO MEXICO RESTAURANT,LOS ANGELES,A,92,DAGS0N7RY,2.0,# 01a. Demonstration of knowledge,OUT OF COMPLIANCE,201601,2016-01-26,2016
634926,321 S MCDONELL AVE,CHINATOWN EXPRESS,LOS ANGELES,A,90,DAJ3V4VXA,1.0,# 47. Permits Available,OUT OF COMPLIANCE,201709,2017-09-05,2017
125346,26101 MAGIC MOUNTAIN PKWY,SIX FLAGS MAGIC MOUNTAIN & SIX FLAGS HURRICANE HARBOR,VALENCIA,A,92,DAO6WOWKC,1.0,"# 37. Adequate ventilation and lighting; designated areas, use",OUT OF COMPLIANCE,201610,2016-10-07,2016
77336,5960 FLORENCE AVE STE C,BIONICOS JUGOS ZAPOPAN,BELL GARDENS,A,95,DAAOKJDKK,2.0,# 01b. Food safety certification,OUT OF COMPLIANCE,201710,2017-10-10,2017
87593,6333 W 3RD ST STE #236,MR MARCEL RESTAURANT & DELI,LOS ANGELES,A,93,DAW9ENMQP,2.0,# 09. Proper cooling methods,OUT OF COMPLIANCE,201712,2017-12-05,2017
327702,15347 GALE AVE,101 SUSHI ROLL & GRILL,INDUSTRY,B,83,DAOWV1O00,1.0,# 33. Nonfood-contact surfaces clean and in good repair,OUT OF COMPLIANCE,201710,2017-10-17,2017
13256,28360 S WESTERN AVE,DOMENICK'S PIZZA HOUSE #3,RANCHO PALOS VERDES,A,90,DAVGUITFI,2.0,# 01b. Food safety certification,OUT OF COMPLIANCE,201706,2017-06-14,2017
707601,549 MANCHESTER BLVD,TOK WATER,INGLEWOOD,A,94,DAMBYZY1E,2.0,# 06. Adequate handwashing facilities supplied & accessible,OUT OF COMPLIANCE,201709,2017-09-20,2017
635979,13208 S SAN ANTONIO DR,MEXICANA MARKETS,NORWALK,A,90,DAUJSZUIG,1.0,# 33. Nonfood-contact surfaces clean and in good repair,OUT OF COMPLIANCE,201706,2017-06-21,2017
57647,444 S FLOWER ST STE 180,OM NOM ORGANICS,LOS ANGELES,A,92,DAAWW32OL,1.0,"# 36. Equipment, utensils and linens: storage and use",OUT OF COMPLIANCE,201606,2016-06-15,2016
16008,400 S GLENDALE AVE,MOON MART KABOB,GLENDALE,A,90,DACMXP7MJ,1.0,# 30. Food properly stored; food storage containers identified,OUT OF COMPLIANCE,201509,2015-09-03,2015
365826,239 LOS CERRITOS CTR,WETZEL'S PRETZELS KIOSK,CERRITOS,A,96,DAAUF7NPQ,1.0,# 33. Nonfood-contact surfaces clean and in good repair,OUT OF COMPLIANCE,201703,2017-03-28,2017
695441,8707 LINDLEY AVE STE #B,RIGO'S TACOS #9,NORTHRIDGE,A,91,DAIWJBGRA,1.0,"# 37. Adequate ventilation and lighting; designated areas, use",OUT OF COMPLIANCE,201712,2017-12-18,2017
28012,18612 VENTURA BLVD,ABSOLUTELY PHOBULOUS III,TARZANA,A,90,DAO1X88QX,1.0,"# 44. Floors, walls and ceilings: properly built, maintained in good repair and clean",OUT OF COMPLIANCE,201609,2016-09-28,2016
750956,2520 E PALMDALE BLVD # K9-10,LOS CIPOTES,PALMDALE,A,93,DABED2EAH,1.0,"# 35. Equipment/Utensils - approved; installed; clean; good repair, capacity",OUT OF COMPLIANCE,201603,2016-03-09,2016
209496,24631 CRENSHAW BLVD STE G-H,GYU-KAKU RESTAURANT,TORRANCE,A,90,DAV7M4O07,1.0,"# 44. Floors, walls and ceilings: properly built, maintained in good repair and clean",OUT OF COMPLIANCE,201704,2017-04-05,2017
496212,1000 VIN SCULLY AVE,DODGER STADIUM,LOS ANGELES,A,95,DACGQQQUA,1.0,"# 35. Equipment/Utensils - approved; installed; clean; good repair, capacity",OUT OF COMPLIANCE,201706,2017-06-20,2017
81896,1585 SEPULVEDA BLVD STE #N,KO RYO JUNG,TORRANCE,A,90,DAXC0AD2Y,1.0,"# 40. Plumbing: Plumbing in good repair, proper backflow devices",OUT OF COMPLIANCE,201703,2017-03-21,2017
745516,6200 W MANCHESTER AVE,A&A LIQUOR,LOS ANGELES,A,97,DAL3UH8HR,2.0,# 06. Adequate handwashing facilities supplied & accessible,OUT OF COMPLIANCE,201604,2016-04-11,2016
720342,14429 ROSCOE BLVD,EL POLLO LOCO #5323,PANORAMA CITY,A,97,DAEBQNRPY,1.0,"# 37. Adequate ventilation and lighting; designated areas, use",OUT OF COMPLIANCE,201705,2017-05-03,2017
719086,13246 VALLEY BLVD,RODEO MEAT MARKET,LA PUENTE,A,90,DAURPTT39,1.0,# 32. Food properly labeled & honestly presented,OUT OF COMPLIANCE,201704,2017-04-25,2017
638750,6801 HOLLYWOOD BLVD # 316,POKINOMETRY,LOS ANGELES,A,90,DA5QCLF2V,1.0,# 43. Premises; personal/cleaning items; vermin-proofing,OUT OF COMPLIANCE,201709,2017-09-13,2017
571350,20154 SATICOY ST,RIGOS TACOS,WINNETKA,A,91,DAMVEGDVH,1.0,"# 36. Equipment, utensils and linens: storage and use",OUT OF COMPLIANCE,201509,2015-09-17,2015
773299,133 N LA CIENEGA BLVD,FOGO DE CHAO,BEVERLY HILLS,A,91,DAQWCYUGV,1.0,"# 36. Equipment, utensils and linens: storage and use",OUT OF COMPLIANCE,201602,2016-02-25,2016
193789,7529 MELROSE AVE,SNAKE PIT,LOS ANGELES,A,94,DAKJWZN6F,1.0,"# 44. Floors, walls and ceilings: properly built, maintained in good repair and clean",OUT OF COMPLIANCE,201705,2017-05-10,2017
